canonical_name,display_name,type,occurrences,distinct_works,cross_work,page_refs,name_variants,description
agnus inmaculatus,Agnus inmaculatus,spirit,1,kieckhefer_clm849,,"60r, 110v, 120r (implied)",,role: Christological title used as conjuratory authority
agrestis,Agrestis,spirit,1,scot_1584,,page 524,,"description: god of the fields, and to him they praied for fertilitie"
agroueros (agrus),Agroueros (Agrus),spirit,1,garnier_1909,,243,,role: Deified patriarch; 'greatest of the gods' at Byblos
aguel,Aguel,spirit,1,kieckhefer_clm849,,p. 351 (84r),,role: one of fifteen names inscribed on army-dispersal image
agyos,Agyos,spirit,1,kieckhefer_clm849,,48r,,role: divine title (Greek: Ἅγιος)
aladep,Aladep,spirit,2,kieckhefer_clm849,,358,,role: invoked in Saturday's conjuration; invoked in Saturday’s final conjuration
alatuel,Alatuel,spirit,1,kieckhefer_clm849,,231–232,,role: divine name in chain of invocations
albilfael,Albilfael,spirit,1,kieckhefer_clm849,,358,,role: blessed name of the Lord invoked in Saturday's conjuration
albumav,Albumav,spirit,1,kieckhefer_clm849,,fol 3r,,function: invoked in chain of binding names
albumay,Albumay,spirit,1,kieckhefer_clm849,,231–232,,role: divine name in chain of invocations
albunalich,Albunalich,spirit,1,liber_juratus,,233,,"quote: ""The Northern ones are these: Maymon the king, Albunalich..."""
aler,Aler,spirit,1,kieckhefer_clm849,,357,,role: invoked in Friday's conjuration
algo,Algo,spirit,1,kieckhefer_clm849,,p. 344–345,,role: ruler of decima hora noctis
algo (nocturnal hour),Algo (nocturnal hour),spirit,1,kieckhefer_clm849,,78r,,"function: break tongue-bindings, counter plots · rank: hour ruler"
alleluia,Alleluia,spirit,1,kieckhefer_clm849,,48r,,role: liturgical exclamation
almodab,Almodab,spirit,2,kieckhefer_clm849,,75v|p. 340,,role: rex spirituum diei Lune · rank: king spirit
aloe,Aloe,spirit,1,kieckhefer_clm849,,[98r],,"quote: ""Aloe, Sappa, Sother..."""
aloybain,Aloybain,spirit,2,kieckhefer_clm849,,357|p. [90v],,role: ventus; wind serving Saturn’s image
alpha,Alpha,spirit,1,kieckhefer_clm849,,36v,,"quote: ""...Alpha, Draco..."""
alpha et o,Alpha et O,spirit,7,kieckhefer_clm849,,"164|280–47r (repeatedly)|47r, 48r, 51r|CLM 849, experiments nos. 12, 36|[53v], [136r], [137r]",,function: inscribed on circles; symbol of God's eternal nature · role: apocalyptic divine title; used in nearly all conjurations; divine title; Christ as beginning and end; divine title/name; inscribed on knife thumb and used repeatedly · rank: divine title; divine name
alpha et o / alpha et o,Alpha et O / Alpha et O,spirit,1,kieckhefer_clm849,,54r–58v,,"role: apocalyptic divine title (Revelation), invoked for cosmic authority"
alrogen,Alrogen,spirit,1,kieckhefer_clm849,,352v,,"quote: ""...per hec nomina, scilicet Alrogen..."""
alssylayessus,Alssylayessus,spirit,1,kieckhefer_clm849,,358,,role: blessed name of the Lord invoked in Saturday's conjuration
althes,Althes,spirit,2,kieckhefer_clm849,,"[97v]|section 7, Demons and Daimons",,rank: demon
"althes, cormes, dies, diles, dilia, fabar, felsmes, mithiomo, molbet, natheus, onaris, pist, progemon, thobar, vmon, vralchim","Althes, Cormes, Dies, Diles, Dilia, Fabar, Felsmes, Mithiomo, Molbet, Natheus, Onaris, Pist, Progemon, Thobar, Vmon, Vralchim",spirit,1,kieckhefer_clm849,,p. 187,,"quote: ""a fourth lists not only Berith, Belzebub and Astaroth, but also Althes, Cormes, Dies, Diles, Dilia, Fabar, Fel"""
altibayn,Altibayn,spirit,1,kieckhefer_clm849,,362,,role: wind invoked in Saturday’s final conjuration
altramat,Altramat,spirit,2,kieckhefer_clm849,,"section 7, Demons and Daimons",,role: demon summoned in intensified conjuration · rank: demon
"altramat, archidemath, discobermath, fritath, hegergibet, helyberp, pestiferat, sona","Altramat, Archidemath, Discobermath, Fritath, Hegergibet, Helyberp, Pestiferat, Sona",spirit,1,kieckhefer_clm849,,p. 187,,"quote: ""a third gives the altogether well established name Satan (spelled ‘Sathan’) but also the exceptional ones Altr"""
alualia,Alualia,spirit,1,kieckhefer_clm849,,357,,role: invoked in Friday's conjuration
alualuaht,Alualuaht,spirit,2,kieckhefer_clm849,,358,,role: invoked in Saturday's conjuration; invoked in Saturday’s final conjuration
alugor,Alugor,spirit,3,kieckhefer_clm849,,65v–65r bis|66r|Table D (no. 34),,"function: reveals hidden treasures; reveals hidden things and duels; commands 1 legio · rank: duke; magnus dux · appearance: splendid knight, with lance, banner, and sceptre; similitudine militis pulcherrimi"
alul,Alul,spirit,1,kieckhefer_clm849,,p. 351 (84r),,role: one of fifteen names inscribed on army-dispersal image
amabel,Amabel,spirit,1,kieckhefer_clm849,,362,,role: angel serving the 4th season
amabihel,Amabihel,spirit,1,liber_juratus,,209,,"quote: ""Samael, Satiel, Yturaihel, Amabihel"""
amamim,Amamim,spirit,1,kieckhefer_clm849,,362,,role: spirits commanded in Saturday’s final conjuration
amamni,Amamni,spirit,1,kieckhefer_clm849,,p. [91r],,role: spiritus
amamnim,Amamnim,spirit,1,kieckhefer_clm849,,357,,role: spirit commanded by Saturday's angels
amaris,Amaris,spirit,1,kieckhefer_clm849,,no. 37q,,role: demon or spirit commanded to carry out request
"amicicia names (malthayl, caramel, etc.)","Amicicia names (Malthayl, Caramel, etc.)",spirit,1,kieckhefer_clm849,,80r,,function: divine names inscribed on images for friendship
amon,Amon,spirit,1,scot_1584,,Page 412,,description: A mighty marques appearing as a wolf with a serpent's tail. · rank: marques · appearance: wolf; serpent's tail; man with dog teeth
an,An,spirit,1,kieckhefer_clm849,,65r,,function: rebellious spirit absorbed by earth
anabona,Anabona,spirit,1,kieckhefer_clm849,,167,,"quote: ""Anabona, by which he merited to receive the tablets of the law"""
anael,Anael,spirit,6,kieckhefer_clm849|liber_juratus,yes,"19, 67, 71, 213, 221|357|71r, 75r, 76v|Table E (37g), Table F (2nd hour)|p. 336–345",,functions: friendship; love of a woman; travel protection · role: angelus mandans; prepositus diei sexto; angel mandating Friday's image · rank: angel; archangel
anagodyny,Anagodyny,spirit,1,kieckhefer_clm849,,358,,role: blessed name of the Lord invoked in Saturday's conjuration
analuabith,Analuabith,spirit,3,kieckhefer_clm849,,357|362|p. [90v],,role: ventus; wind serving Saturn’s image; wind invoked in Saturday’s final conjuration (variant of Analuabith)
anathematon,Anathematon,spirit,1,kieckhefer_clm849,,166,,"quote: ""...and by the name Anathematon, and with the name Anathematon, which Aaron heard..."""
anazana,Anazana,spirit,1,kieckhefer_clm849,,358,,role: blessed name of the Lord invoked in Saturday's conjuration
andegor,Andegor,spirit,2,kieckhefer_clm849,,359|p. [92r],,role: princeps; prince of the 9th month
andyron,Andyron,spirit,1,kieckhefer_clm849,,[102v],,"quote: ""cum tuis subditis Ygrim, Andyron, Vzmyas..."""
aneth,Aneth,spirit,1,kieckhefer_clm849,,p. 349 (83r),,role: one of twelve names inscribed on crucible rim
angel,The Angel,spirit,1,ars_notoria,,16,,role: revealer
angel of the lord,Angel of the Lord,spirit,2,ars_notoria,,28-31|38,,function: reveals words and writings to the practitioner · role: Delivered Book and Notes to Solomon
angel to solomon,Angel to Solomon,spirit,1,ars_notoria,,42,,"quote: ""which were composed and delivered by the Angel to Solomon, from the hand of God."""
angeli,angeli,spirit,1,kieckhefer_clm849,,[54v],,function: serve in consecration rites · rank: angelic beings
angels,Angels,spirit,6,kieckhefer_clm849|liber_juratus,yes,"125, 130|17, 33, 55, 61, 65, 145, 175, 193, 197, 199, 271, 285, 289, 291, 299|18|61|79, 80",Angels|angels,nature: pure; holy
anleyuz,Anleyuz,spirit,1,kieckhefer_clm849,,38,,role: demon invoked
annedoti,Annedoti,spirit,1,garnier_1909,,p. 234,,role: daemon teachers
aphaleon,Aphaleon,spirit,2,kieckhefer_clm849,,166,,rank: demonic ruler
apo lyn (apolyon),Apo lyn (Apolyon),spirit,1,kieckhefer_clm849,,fol. 14v,,function: named in hatred ritual incantation · rank: demon
apolin,Apolin,spirit,8,kieckhefer_clm849,,"144–146|231–234|Experiment for instruction|Munich Handbook, CLM 849 (experiment for gaining knowledge)|fols 3r-5v",,function: one of three kings conjured; commands teacher-spirit; conveys knowledge through spirit-magister · role: demon involved in conjuration to send a teacher; one of three kings conjured; demonic spirit · rank: king; demon
apollion,Apollion,spirit,1,kieckhefer_clm849,,"section 7, Demons and Daimons",,"quote: ""Apolin could be Apollion"""
"apollion, arath, astra, damay, erlain, gana, gebel, lamair, oor, safrit, tami, taraor, tatomofon, thomo, ym, zanno/zaimo","Apollion, Arath, Astra, Damay, Erlain, Gana, Gebel, Lamair, Oor, Safrit, Tami, Taraor, Tatomofon, Thomo, Ym, Zanno/Zaimo",spirit,1,kieckhefer_clm849,,p. 187,,"quote: ""Apolin could be Apollion, Arath could be Arathiel, Astra could be Astrael…"""
apollon,Apollon,spirit,1,kieckhefer_clm849,,,,role: demonic name invoked for power
apologia,Apologia,spirit,1,liber_juratus,,40,,"quote: ""the seats of Primachia and Apologia"""
apolyn,Apolyn,spirit,1,kieckhefer_clm849,,167,,"quote: ""...invokes the demonic names Apolyn, Gebel, Astaroth, Tereol, Falmar and Tyroces"""
"apolyn, gebel, astaroth, tereol, falmar, tyroces","Apolyn, Gebel, Astaroth, Tereol, Falmar, Tyroces",spirit,1,kieckhefer_clm849,,fols 14v,,"quote: ""scilicet ‘Apolyn’, ‘Gebel’, ‘Astaroth’, ‘Tereol’, ‘Falmar’, et ‘Tyroces’"""
apostles,Apostles,spirit,1,kieckhefer_clm849,,[59v],,function: agent of binding/constraining the demon · rank: apostolic order
apostoli christi,Apostoli Christi,spirit,1,kieckhefer_clm849,,"317v, 60r",,role: apostles invoked in binding
aquatic spirits,Aquatic Spirits,spirit,1,liber_juratus,,55,,"quote: ""To know the aquatic spirits, and their virtues and superiors."""
aquelyo,Aquelyo,spirit,1,kieckhefer_clm849,,351r,,"quote: ""...Aforax, Aquelyo..."""
arath,Arath,spirit,1,kieckhefer_clm849,,"section 7, Demons and Daimons",,"quote: ""Arath could be Arathiel"""
arcan,Arcan,spirit,1,liber_juratus,,19,,"quote: ""Arcan, called king of aerial spirits, then king of Zephyr (the West)"""
archalia,Archalia,spirit,1,kieckhefer_clm849,,357,,role: invoked in Friday's conjuration
archangeli,archangeli,spirit,1,kieckhefer_clm849,,[54v],,function: serve in consecration rites · rank: angelic hierarchy
archangels,Archangels,spirit,2,liber_juratus,,18|61,,"quote: ""Cherubim, Seraphim, Thrones, Dominations, Virtues, Principalities, Powers, Archangels, and Angels."""
"archangels (gabriel, michael, raphael)","Archangels (Gabriel, Michael, Raphael)",spirit,1,kieckhefer_clm849,,p. 189,,"quote: ""The archangels mentioned in the Bible and the Old Testament apocrypha (Gabriel, Michael, Raphael) were mention"""
archidemath,Archidemath,spirit,2,kieckhefer_clm849,,"section 7, Demons and Daimons",,role: demon summoned in intensified conjuration · rank: demon
aries,Aries,spirit,2,kieckhefer_clm849,,[98r],,"quote: ""Serpens, Aries, Leo..."""
arieth,Arieth,spirit,1,kieckhefer_clm849,,42v (No. 23),,role: father of Lylet; invoked in conjuration
aroch,Aroch,spirit,2,kieckhefer_clm849,,p. 102,,role: one of four spirits governing quadrants; companion spirit to Astaroth in conjuration
arpa,Arpa,spirit,1,kieckhefer_clm849,,p. 351 (84r),,role: one of fifteen names inscribed on army-dispersal image
asaame/asaomie/asamye (angelic names),Asaame/Asaomie/Asamye (angelic names),spirit,1,kieckhefer_clm849,,70v,,function: used in Mercury conjuration · rank: angelic names
asaïbi,Asaïbi,spirit,1,liber_juratus,,20,,"quote: ""Servants: Aboumaleth, Asaïbi, Balidet"""
asef caroth,Asef Caroth,spirit,1,kieckhefer_clm849,,p. 381 (104v),,role: magister vester in second experiment; possible corruption or variant of Astaroth
asmoday,Asmoday,spirit,2,kieckhefer_clm849,,p. 192|text body (Lemegeton reference),,functions: furnishes a ring of virtues; teaches mathematics; answers questions truly · rank: great king · appearance: three heads
asmodeus,Asmodeus,spirit,4,liber_juratus,,"278|280|34|34, 279",,"description: best well known of all spirits listed by Honorius · role: coadjutor to Labadau; Coadiutor of Labadau; terrestrial spirit, assistant of prince Labadau · power: Gives indestructible treasure"
asper,Asper,spirit,1,kieckhefer_clm849,,48r,,role: invoked in demon conjuration
assandaran,Assandaran,spirit,2,kieckhefer_clm849,,359|p. [92r],,role: princeps; prince of the 11th month
assassael,Assassael,spirit,1,kieckhefer_clm849,,p. 342,,role: angelus assistens diei Jouis
assassayel,Assassayel,spirit,2,kieckhefer_clm849|liber_juratus,yes,209|no. 37m/q,,role: angel constituted over the fifth image (Thursday)
astaba,Astaba,spirit,3,kieckhefer_clm849,,357|362|p. [91r],,role: spiritus; spirit commanded by Saturday's angels; spirits commanded in Saturday’s final conjuration
astaroth,Astaroth,spirit,26,kieckhefer_clm849|scot_1584,yes,"166|269n (fig. f.30r); 271a|62v–65r|63r|CLM 849, experiment no. 2; footnote 14",,"description: An idol of the Philistines, also worshipped by Solomon; signifies riches and flocks. · function: reveals treasures guarded by spirits; gives love of women, especially widows; commands languages; named in hatred ritual incantation; responds to conjuration in mirror ritual · functions: mentioned among named demons"
astena,Astena,spirit,1,kieckhefer_clm849,,49v,,role: invoked in basin conjuration
astra,Astra,spirit,2,kieckhefer_clm849,,"63r|section 7, Demons and Daimons",,function: responds to conjuration in mirror ritual · rank: spirit
asyel,Asyel,spirit,5,kieckhefer_clm849,,"271a, 272a|fols 32r-33r|p. 112|p. 207",,role: conjured spirit for constraint rituals; conjuration spirit in bone ritual; demonic spirit
ataiberius,Ataiberius,spirit,1,scot_1584,,page 616,,"description: A virulent animal that confounded the undertakings of those who labored in the silver mine in Germany, appearing in the likeness of a he-goat with Golden horns, a horse breathing flames, and a monk in pontifical robes."
atal,Atal,spirit,1,kieckhefer_clm849,,p. 351 (84v),,role: one of twenty-five names inscribed on enemy-expulsion image
athanathos / athanathos,Athanathos / Athanathos,spirit,1,kieckhefer_clm849,,58r,,"role: variant of 'athanatos' (immortal), invoked as divine name"
athanatos,Athanatos,spirit,3,kieckhefer_clm849,,167|48r|[98r],,role: divine title (Greek: ἀθάνατος)
athitael,Athitael,spirit,1,liber_juratus,,209,,"quote: ""Gabriel, Michael, Samyel, Athitael"""
athon / onay / anay / anathon,Athon / Onay / Anay / Anathon,spirit,1,kieckhefer_clm849,,58v,,role: divine names in concluding consecration formula
athym,Athym,spirit,1,kieckhefer_clm849,,358,,role: blessed name of the Lord invoked in Saturday's conjuration
atlas,Atlas,spirit,1,kieckhefer_clm849,,p. [90v],,role: ventus
atle,Atle,spirit,1,kieckhefer_clm849,,p. 351 (84r),,role: one of fifteen names inscribed on army-dispersal image
atrarayl,Atrarayl,spirit,1,kieckhefer_clm849,,362,,role: angel serving the 4th season
atyn,Atyn,spirit,1,kieckhefer_clm849,,p. 344–345,,role: ruler of quarta hora noctis
atyn (nocturnal hour),Atyn (nocturnal hour),spirit,1,kieckhefer_clm849,,78r,,function: expel from house · rank: hour ruler
audena,Audena,spirit,1,kieckhefer_clm849,,p. 351 (84v),,role: one of twenty-five names inscribed on enemy-expulsion image
aurora,Aurora,spirit,1,kieckhefer_clm849,,351r,,"quote: ""...Ebely, Aurora..."""
austeron,Austeron,spirit,1,kieckhefer_clm849,,351r,,"quote: ""...Gysay, Austeron..."""
avarus,Avarus,spirit,3,kieckhefer_clm849,,45–46|section 'Necromancy and Necromancers in Fifteenth-Century Munich',,function: associated with avarice (avaritia); key motive in necromantic divination · rank: demon
ayos,Ayos,spirit,1,kieckhefer_clm849,,[98r],,"quote: ""Ayos, Otheos, Yschyros..."""
ayos / theos,Ayos / Theos,spirit,1,kieckhefer_clm849,,57v–58r,,"role: Greek divine titles (Holy, God) invoked in Latin context"
aysansasyel,Aysansasyel,spirit,2,kieckhefer_clm849,,359|p. [92r],,role: princeps; first prince (eastern throno)
azariel,Azariel,spirit,1,kieckhefer_clm849,,p. 347 (80r),,role: one of seven names inscribed on love magic images
"azelechias, velozeos, inoanzama, samelo, hotens, sagnath, adonay, soma, jezoehos, hicon, jezomethon, sadaot","Azelechias, Velozeos, Inoanzama, Samelo, Hotens, Sagnath, Adonay, Soma, Jezoehos, Hicon, Jezomethon, Sadaot",spirit,1,ars_notoria,,34,,"quote: ""Azelechias, Velozeos, Inoanzama, Samelo, Hotens, Sagnath, Adonay, Soma, Jezoehos, Hicon, Jezomethon, Sadaot."""
azraro,Azraro,spirit,1,kieckhefer_clm849,,[100r],,"quote: ""Sathan, Belzebub, Astaroth, Berith, Azraro, Rotunda"""
baal,Baal,spirit,1,garnier_1909,,251,,"quote: """"This was also the origin of the human sacrifices to Baal and Moloch, to whom children were especially accepta"""
baal peor,Baal Peor,spirit,1,garnier_1909,,p. 376,,role: Phallic god of Canaan
babaia,Babaia,spirit,1,kieckhefer_clm849,,352r,,"quote: ""...Melyon, Babaia..."""
bacchus (ce bacche/broum),Bacchus (Ce Bacche/Broum),spirit,1,garnier_1909,,p. 182,,role: god worshipped by Pagan Irish
badalam,Badalam,spirit,2,kieckhefer_clm849,,p. 105,,role: lord to whom demons are bound in obedience
baell,Baell,spirit,1,scot_1584,,Page 412,,"description: A king of the power of the east who appears with three heads (toad, man, and cat) and commands 66 legions. · rank: king · appearance: three heads; toad-like head; man-like head"
bal,Bal,spirit,1,kieckhefer_clm849,,p. 351 (84v),,role: one of twenty-five names inscribed on enemy-expulsion image
"balbieit, zelans, zelles, dimedero, cadar","Balbieit, Zelans, Zelles, Dimedero, Cadar",spirit,1,kieckhefer_clm849,,42v (No. 23),,role: demonic names invoked in Lilith mirror ritual
balidet,Balidet,spirit,1,liber_juratus,,20,,"quote: ""Servants: Aboumaleth, Asaïbi, Balidet"""
balkin,Balkin,spirit,1,scot_1584,,"Appendix I, IX",,description: The Master of Luridan
balthasar,Balthasar,spirit,2,kieckhefer_clm849,,"51r|[98v], [102r]",,role: One of the Three Magi
balthim,Balthim,spirit,1,kieckhefer_clm849,,342v–35r,,"quote: ""...Saltim, Balthim, Gehim..."""
baltim,Baltim,spirit,4,kieckhefer_clm849,,"experiment no. 15 (flying throne)|p. 194|p. 76–77|section 7, Demons and Daimons",,function: defensive spirit conjured during flight to cause storm upon adversary · role: defensive spirit conjured in flying throne ritual · rank: spirit; duke; dux
"baltim, galtim, saltim","Baltim, Galtim, Saltim",spirit,1,kieckhefer_clm849,,p. 186,,rank: dukes
baraa,Baraa,spirit,1,kieckhefer_clm849,,p. 351 (84r),,role: one of fifteen names inscribed on army-dispersal image
barachiel,Barachiel,spirit,1,liber_juratus,,298-299,,role: Superior angel
baramel,Baramel,spirit,1,kieckhefer_clm849,,p. 350 (83v),,role: one of six names inscribed on reptile-fugation image
barbaras,Barbaras,spirit,1,kieckhefer_clm849,,65v,,function: reveals hidden treasures; commands 36 legions · rank: magnus comes et dux
barbarus,Barbarus,spirit,2,kieckhefer_clm849,,65v–65r bis|Table D (no. 34),,function: discloses treasures not protected by magic · rank: count and duke; magnus comes et dux · appearance: seneschal
barbatos,Barbatos,spirit,1,scot_1584,,Page 412,,description: A duke or earl who understands the voices of animals. · rank: count; earl; duke · appearance: Signo sagittarii sylvestris
barbectus,Barbectus,spirit,2,kieckhefer_clm849,,p. 93,,role: demon; demon invoked alongside Mosectus and Belsabuct
barian (divine name),Barian (divine name),spirit,1,kieckhefer_clm849,,79r,,function: used in hour names · rank: divine name
barma,Barma,spirit,1,scot_1584,,"Appendix I, Chap. III",,description: One of three spirits that can be raised with wonderful things effected through their assistance
barmaly,Barmaly,spirit,2,kieckhefer_clm849,,76v|p. 342,,role: angelus assistens diei Martis · rank: angel
bartha,Bartha,spirit,5,kieckhefer_clm849,,"342v–35r|p. 186|p. 195|section 7, Demons and Daimons",,role: king of clouds · rank: king; rex
barthan,Barthan,spirit,8,liber_juratus,,"19, 203, 229, 251-271|229|251|256, 257, 260|269-270",,"role: king of the East spirits; airy powers of the East; King of the East · nature: gives gold with carbuncles, wealth, gratitude, dissolves hostility"
baruch,Baruch,spirit,1,kieckhefer_clm849,,"section 7, Demons and Daimons",,role: named in conjurations · rank: demon
baruth,Baruth,spirit,1,kieckhefer_clm849,,"[102v], [103v]",,"quote: ""...Bylent, Baruth... Baruth..."""
basal,Basal,spirit,1,kieckhefer_clm849,,49v,,role: one of 12 names
basyon,Basyon,spirit,2,kieckhefer_clm849,,45r (No. 27-A),,role: true God; divine name invoked in binding pueri
bathin,Bathin,spirit,1,scot_1584,,"Appendix I, Chap. III",,description: One of three spirits that can be raised with wonderful things effected through their assistance
baxhatau,Baxhatau,spirit,2,liber_juratus,,229|245,,role: exciter of the North wind
baysyn,Baysyn,spirit,1,kieckhefer_clm849,,p.21,,description: A mysterious divine or angelic name in consecration prayers
baytan,Baytan,spirit,1,kieckhefer_clm849,,361,,role: king reigning on Sunday
beaali,Beaali,spirit,1,kieckhefer_clm849,,p. 351 (84r),,role: one of fifteen names inscribed on army-dispersal image
bealphares,Bealphares,spirit,1,scot_1584,,page 415/418,,"description: A spirit that can be bound or lost, mentioned in an experiment"
beas,Beas,spirit,1,kieckhefer_clm849,,p. 349 (83r),,role: one of twelve names inscribed on crucible rim
beel,Beel,spirit,1,kieckhefer_clm849,,p. 350 (83v),,role: one of seven names inscribed on night image 2
beelzebub,Belzebub,spirit,12,garnier_1909|kieckhefer_clm849|liber_juratus|scot_1584,yes,"270-271|CLM 849, experiment no. 1; footnote 14|Chapter 19|Table C (no. 1; no. 38)|[97v], [100r]",Beelzebub|Belzebub,description: The lord of the flies; an idol or oracle at Ekron; reputed as the principal devil among the Jews. · function: appears in circles; listed in circle inscriptions · role: named in conjurations; demonic spirit; prince of demons
beheydraz,Beheydraz,spirit,1,kieckhefer_clm849,,38,,role: demon invoked
bel,Bel,spirit,2,kieckhefer_clm849,,pp. 112–113,,role: used in bone-conjuration rituals; infernal spirit invoked in bone magic · rank: infernal spirit
bel et ebal,Bel et Ebal,spirit,1,kieckhefer_clm849,,65v bis,,function: spirits conjured in love ritual; incite burning love
belam,Belam,spirit,4,kieckhefer_clm849,,"271a, 272a|p. 112|p. 207",,role: conjured spirit for constraint rituals; conjuration spirit in bone ritual; demonic spirit
belelah,Belelah,spirit,1,scot_1584,,"Appendix I, VIII",,description: Another name for the familiar Luridan
belferith,Belferith,spirit,2,kieckhefer_clm849,,"p. 207|section 7, Demons and Daimons",,role: demonic spirit · rank: demon
belial,Belial,spirit,18,kieckhefer_clm849,,"145–146|233 (note m)|234|269n (fig. f.30r)|CLM 849, experiment no. 12; footnote 14",Belial|Beliath,"function: appears in conjurations, invoked alongside Astaroth and Paymon; listed in circle inscriptions; helper in image magic · functions: mentioned among named demons · role: helper in image-making ritual; named in conjurations; 'foremost prince'; initial prince/helper in love ritual"
beliall,Beliall,spirit,1,scot_1584,,Page 416,,description: A king created immediately after Lucifer. · rank: king · appearance: beautiful angel; sitting in a fiery chariot
belsabuct,Belsabuct,spirit,2,kieckhefer_clm849,,p. 93,,role: prince of demons; demon invoked alongside Mosectus and Barbectus
belus,Belus,spirit,1,garnier_1909,,61–64,,role: Babylonian god
"belzebub, berith, castiel, lucifer, mirael, paymon","Belzebub, Berith, Castiel, Lucifer, Mirael, Paymon",spirit,1,kieckhefer_clm849,,p. 186,,"quote: ""Astaroth, Baruch, Belial, Belzebub, Berith, Castiel, Lucifer, Mirael, Paymon and Satan or Sathan"""
belzebuc,Belzebuc,spirit,3,kieckhefer_clm849,,"145–146|234|Munich Handbook, CLM 849",,role: named in final invocation; infernal entity · rank: infernal name invoked
belzebut,Belzebut,spirit,1,liber_juratus,,246,,"quote: ""capud et corona principis vestri Belzebut vos venire et ventos vestros excitare constringat."""
benign spirits,Benign spirits,spirit,1,kieckhefer_clm849,,p. 186,,"description: sow concord; pleasant, happy, joyful"
beolthoray,Beolthoray,spirit,1,kieckhefer_clm849,,351r,,"quote: ""...Boreoth, Beolthoray..."""
berabut,Berabut,spirit,1,kieckhefer_clm849,,p. 350 (83v),,role: one of six names inscribed on reptile-fugation image
bercca,Bercca,spirit,1,kieckhefer_clm849,,p. 350 (83v),,role: one of six names inscribed on reptile-fugation image
berien,Berien,spirit,1,kieckhefer_clm849,,p. 207,,role: demonic spirit
berion,Berion,spirit,1,kieckhefer_clm849,,,,role: divine name in conjuration
berit,Berit,spirit,2,kieckhefer_clm849,,"[97v], [103v]|p. 372",,role: prince of demons · rank: princeps demoniorum
berith,Berith,spirit,19,kieckhefer_clm849,,"144–146|231–234|CLM 849, experiment no. 11; footnote 8, 10, 14|Experiment for instruction|Munich Handbook, CLM 849 (experiment for gaining knowledge)",,"function: one of four spirits invoked for invisibility cloak; one of three kings conjured; described as fornicator, temptator, seductor; appears in circles · functions: mentioned among named demons · role: lord to whom demons are bound in obedience; named in conjurations; conjured spirit in invisibility ritual"
beror,Beror,spirit,1,kieckhefer_clm849,,p. 350 (83v),,role: one of six names inscribed on reptile-fugation image
beruth (covenant),Beruth (Covenant),spirit,1,garnier_1909,,245,,meaning: covenant
beryen,Beryen,spirit,3,kieckhefer_clm849,,26r|experiment no. 10|p. 80–81,,function: inscribed inside gold ring for raising dead person · role: demon inscribed on ring interior · rank: demon (resurrection ritual)
beryen (also berien),Beryen (also Berien),spirit,1,kieckhefer_clm849,,"p. 261–263, No. 10; p. 262 n.d",,role: demon named on consecrated ring for resurrection
bessabes,Bessabes,spirit,1,kieckhefer_clm849,,43v (No. 25),,role: invoked to bind angels to crystal
"bethala, pamelon, anguis, floris, ereth, alya, cabyona, ely, eloy, sadamay, melgry, asmyacre","Bethala, Pamelon, Anguis, Floris, Ereth, Alya, Cabyona, Ely, Eloy, Sadamay, Melgry, Asmyacre",spirit,1,kieckhefer_clm849,,49v-50r,,function: answer questions · role: twelve spirits to appear in boy’s hand
bezat,Bezat,spirit,1,kieckhefer_clm849,,p. 349 (83r),,role: one of twelve names inscribed on crucible rim
bezlebuth,Bezlebuth,spirit,2,kieckhefer_clm849,,p. 192|text body + Table D (Livre des esperitz),,function: reveals all secrets of hell
bicol,Bicol,spirit,2,kieckhefer_clm849,,37r fig.|p. 207,,role: demonic spirit
bileth,Bileth,spirit,2,liber_juratus,,19|34,,"quote: ""his servants Bileth, Misabou, and Abouzaba."""
bilta niprut / belit nipru,Bilta Niprut / Belit Nipru,spirit,1,garnier_1909,,62–63,,role: goddess
bilu nipru / bel nimrod,Bilu Nipru / Bel Nimrod,spirit,1,garnier_1909,,62–64,,role: god
bireoth,Bireoth,spirit,2,kieckhefer_clm849,,p. 98,,function: mentioned in conjuration to gain favour · role: variant of Byreoth; variant spelling of Byreoth in incantation
black man (demon form),black man (demon form),spirit,1,kieckhefer_clm849,,,,role: typical appearance of demons in visions
blemutum,Blemutum,spirit,1,kieckhefer_clm849,,58v,,role: mysterious divine name
bodhisattvas,Bodhisattvas,spirit,1,garnier_1909,,154,,role: worshipped holy men after death; intermediaries
boel,Boel,spirit,2,liber_juratus,,"209|221-2, 222",,"quote: ""Boel, Cafziel, Michrathon, Sathquyel"""
boel (saturn angel),Boel (Saturn angel),spirit,1,kieckhefer_clm849,,71v,,function: ruler of 7th host · rank: angel
bohel,Bohel,spirit,1,liber_juratus,,201,,"quote: ""But of those certain ones are called Saturnians, and these are: Bohel, Cafziel, Michrathon, Satquiel"""
boreal,Boreal,spirit,1,kieckhefer_clm849,,351r,,"quote: ""...Austeron, Boreal..."""
boreoth,Boreoth,spirit,1,kieckhefer_clm849,,351r,,"quote: ""...Zephirim, Boreoth..."""
branar,Branar,spirit,1,kieckhefer_clm849,,p. 350 (84r),,role: one of six names inscribed on folio held by night image 2
bresis,Bresis,spirit,1,kieckhefer_clm849,,48r,,role: invoked in exorcism formula
